Transaction ID,Product,Quantity,Unit Price (INR),Sales Date,Customer Name,City,State,Country,Sales Channel,Payment Type,Total Sale (INR)
TX0001,Smartwatch,9,8941,2024-04-12,Vivaan Sastry,Bharatpur,Arunachal Pradesh,India,Store,Credit Card,80469
TX0002,Desktop PC,9,19827,2024-02-06,Ishaan Madan,Nellore,Odisha,India,Store,Credit Card,178443
TX0003,Desktop PC,4,16640,2023-12-16,Azad Sandhu,New Delhi,Bihar,India,Online,Credit Card,66560
TX0004,E-Reader,3,2945,2024-09-11,Shray Chawla,Gandhidham,Manipur,India,Online,Credit Card,8835
TX0005,Laptop,4,2848,2023-10-24,Zara Kata,Surendranagar Dudhrej,Madhya Pradesh,India,Direct,Net Banking,11392
TX0006,Laptop,7,18703,2023-12-24,Vritika Kata,Proddatur,Meghalaya,India,Store,Net Banking,130921
TX0007,Tablet,4,9640,2023-11-27,Hrishita Dada,Buxar,Goa,India,Store,Credit Card,38560
TX0008,External Hard Drive,7,15189,2024-07-13,Anaya Sachar,Srinagar,Punjab,India,Online,Debit Card,106323
TX0009,Tablet,6,4093,2024-01-30,Indrans Jani,Karaikudi,Meghalaya,India,Online,UPI,24558
TX0010,Smartphone,8,7088,2023-11-15,Shaan Dhar,Guna,Assam,India,Online,UPI,56704
TX0011,Smartwatch,1,11790,2024-07-03,Lavanya Lal,Panihati,Sikkim,India,Online,UPI,11790
TX0012,Headphones,9,19740,2024-09-11,Prisha Bakshi,Sasaram,Assam,India,Direct,Credit Card,177660
TX0013,Printer,5,19143,2024-09-17,Abram Shetty,Jodhpur,Tripura,India,Store,UPI,95715
TX0014,Desktop PC,7,5387,2023-10-24,Anaya Sunder,Jalna,Karnataka,India,Online,Debit Card,37709
TX0015,Desktop PC,6,19724,2023-12-21,Farhan Mand,Unnao,Manipur,India,Direct,Debit Card,118344
TX0016,Camera,9,7785,2024-02-15,Nakul Hora,Bahraich,Uttar Pradesh,India,Direct,Debit Card,70065
TX0017,Smartwatch,3,7262,2023-12-03,Rhea Hegde,Mau,Odisha,India,Online,Cash,21786
TX0018,Printer,4,2877,2024-04-21,Shanaya Desai,Tadepalligudem,Andhra Pradesh,India,Online,Cash,11508
TX0019,Printer,8,9997,2023-11-30,Miraan Rastogi,Tiruchirappalli,Gujarat,India,Direct,Debit Card,79976
TX0020,Printer,6,2081,2024-08-02,Dharmajan Wable,Dhule,Assam,India,Store,Cash,12486
TX0021,Laptop,4,4246,2024-07-25,Myra Chanda,Orai,Uttar Pradesh,India,Online,Cash,16984
TX0022,Laptop,5,14316,2024-05-25,Lavanya Koshy,Chapra,Arunachal Pradesh,India,Direct,UPI,71580
TX0023,E-Reader,6,18074,2024-02-07,Gokul Devi,Mangalore,Telangana,India,Online,Credit Card,108444
TX0024,Camera,4,14772,2023-11-04,Miraya Sahota,Kharagpur,Kerala,India,Direct,Net Banking,59088
TX0025,Headphones,4,14215,2024-01-22,Hansh Rau,Bhubaneswar,Kerala,India,Direct,Debit Card,56860
TX0026,External Hard Drive,8,6274,2024-01-27,Heer Gole,Tirupati,Punjab,India,Direct,Cash,50192
TX0027,External Hard Drive,8,5670,2024-07-01,Divyansh Ahluwalia,Kota,Mizoram,India,Store,Cash,45360
TX0028,Desktop PC,4,8325,2023-11-06,Damini Bhat,Gaya,Nagaland,India,Online,Cash,33300
TX0029,Desktop PC,3,13195,2024-07-02,Renee Subramanian,Kota,Uttar Pradesh,India,Store,Credit Card,39585
TX0030,E-Reader,4,7947,2023-09-27,Keya Chacko,Vijayawada,Mizoram,India,Direct,Net Banking,31788
TX0031,E-Reader,8,11358,2023-12-15,Hiran Kata,Delhi,Uttarakhand,India,Store,UPI,90864
TX0032,Camera,8,15744,2024-01-29,Shalv Sodhi,Nandyal,Arunachal Pradesh,India,Online,Debit Card,125952
TX0033,Camera,6,3080,2023-12-27,Shlok Chopra,Buxar,Bihar,India,Online,Cash,18480
TX0034,Smartwatch,2,3896,2024-09-02,Heer Borra,Kavali,Assam,India,Online,Net Banking,7792
TX0035,Laptop,3,12383,2024-06-14,Armaan Chand,Shimoga,Telangana,India,Store,Credit Card,37149
TX0036,External Hard Drive,3,10823,2024-09-11,Saira Zachariah,Ichalkaranji,Mizoram,India,Online,UPI,32469
